"customer_id","first_name","last_name","credit_score","loan_amount","interest_rate"
"CUSQNN47Y3Q4I5B","Bobby","Patterson",517,299889.84,3.46
"CUSXIPC5TRLY01L","Linda","Franco",736,296930.22,13.06
"CUSTSXL62R7SE5S","Kent","Hansen",545,154551.89,4.75
"CUSCY8DWDXOEGAM","Sean","Casey",797,48772.64,13.10
"CUS7CR8SFV63TZX","Sandra","Moore",373,249833.15,4.88
"CUS2QM1XB0WZ1UN","Patrick","Bullock",543,252381.70,5.06
"CUSQJPBOFO7PUK6","Stacie","Curry",359,68084.19,8.69
"CUSP7RCWXE81AL6","Ashley","Davidson",481,5701.95,3.28
"CUSZD65GTAH1WGC","Connie","Davis",352,25134.15,10.76
"CUSROOA8HUJV4QW","Jeffrey","Barnes",494,15912.99,14.96
"CUS2YVORXC51U2Q","Mary","Yang",370,263333.10,8.15
"CUS639WRNFMB5F2","Mike","Morgan",523,187409.30,9.75
"CUS0FKWVCJ5FZGA","Brian","Guerrero",425,55331.29,9.93
"CUSBSL4C2Y4J58T","Lisa","Powell",771,134345.31,2.72
"CUSEW0U5NQWLFNS","James","Hernandez",472,287512.41,11.86
"CUSAK1BNBOK6OQL","Lisa","Dixon",727,31522.24,14.61
"CUSAXUIB7AVU4ZV","Heather","Coleman",341,264964.90,3.24
"CUS1ZXLY32SNIG2","Thomas","Green",311,21261.32,11.39
"CUSH6MBJA9JG6I4","Michael","Mahoney",449,278612.03,10.16
"CUSOFFMQ326MECY","Sarah","Hill",334,1893.14,6.68
"CUS2E0B2YA51A31","Andre","Cruz",728,47263.10,9.89
"CUSLNJ5JN1F688Y","Charles","Gomez",711,262207.75,5.10
"CUSEDWBJB3PQ0T5","Daniel","Garcia",330,80412.43,7.32
"CUS3JTZW8MBKG0C","Tyler","Roy",394,189113.99,11.25
"CUSVT3XNNA0P8SY","Gabrielle","Munoz",463,72925.79,2.80
"CUSF1G4445VSW80","Stephanie","Larson",487,88232.00,13.88
"CUSL2QF34VTEBA8","Justin","Rodriguez",302,99680.86,6.06
"CUSPP9OEVS1JR77","Jessica","Robinson",684,237114.61,7.54
"CUSUSLR3ST0DT30","Stacey","Cook",834,113101.45,8.82
"CUSFJ0EFIIDXZN7","Samuel","Holland",749,99514.32,13.42
"CUSLZQAFGNH84OV","Charles","Meyer",838,11660.80,7.07
"CUSZDTZ3BM4870D","Marilyn","Avery",706,242055.51,10.80
"CUSMYG2ZF9EXNXY","Amy","Hawkins",680,229154.18,11.29
"CUSXORKF3FGJPI6","Jill","Strickland",622,7839.92,8.84
"CUSPKXVHAGKC4LO","Nancy","Murphy",800,245417.79,6.96
"CUSS55L6IBDIVKO","Lisa","Robbins",309,271792.93,4.13
"CUS3T66P79LZV36","Bethany","Garrett",384,59204.81,10.73
"CUSD6YU1DZQIONB","Derek","Edwards",548,113036.90,4.25
"CUSWQGTTR6IKO7G","Fernando","Crawford",614,298985.50,5.98
"CUSJX4X3X91Z4Z5","Sharon","Jordan",397,108087.72,4.48
"CUSJ4RU2RB8SXPH","Kurt","Reynolds",823,58661.58,3.47
"CUS2YPZ9GO006BJ","Christina","Clarke",825,297084.60,5.89
"CUS931E6EZRXUT7","Bryan","Davenport",520,169452.37,3.42
"CUS3JDA0HXV2ZOT","Ashley","Bolton",843,210269.66,3.35
"CUS12FZD76HOVN9","William","Johnson",547,224078.19,2.70
"CUSWCIN0K5FC34S","Allison","Smith",774,70109.87,10.51
"CUS2D1FK9N44IRQ","Leroy","Cox",517,112995.06,4.36
"CUSNTFZLFD94X6O","Joseph","Garcia",567,111648.99,14.81
"CUSBLN5APG425CD","Victoria","Hayes",520,51925.69,7.63
"CUS02KMCC55LDD6","Holly","Peterson",764,285217.74,6.40
"CUSMNJMTWBIV6K2","Amy","Hughes",377,95372.29,7.85
"CUSXMHR7WEWND9Y","Jennifer","Lee",531,216684.16,2.04
"CUSOUNN9YTYRY6F","Jose","Robertson",679,165383.20,14.48
"CUSILPLSOS0I9MY","Brianna","Berry",313,118728.89,10.41
"CUSD4MBMPNHUW85","Matthew","Wilson",718,265513.15,11.33
"CUSZ9L0ILJR70FM","Donald","Cox",554,166262.35,4.94
"CUSLWTKS44VEZZV","Robert","Smith",516,256170.19,9.61
"CUSWXPLJ7J53EXS","Patrick","Johnson",365,209573.34,4.98
"CUSHS52HPYPHFQG","Wendy","Smith",751,253683.24,7.38
"CUS958P4928TWHW","Sarah","Smith",586,191919.00,3.56
"CUSFP2VV6RBG90I","Beth","Taylor",418,205921.95,10.57
"CUSKTX7OP2XVCIR","Bryan","Wright",780,123100.40,5.24
"CUSQ64HIU58QOZ5","Ashley","Bush",497,167941.92,11.89
"CUSLOO9C0757W8V","Luke","Miller",520,16960.21,5.36
"CUSICNT4F147QJQ","Sarah","Fitzgerald",844,2757.77,13.36
"CUSF45562YQ2WID","Trevor","Ferguson",364,5616.77,11.05
"CUSAM0GHOY50RTW","Nicholas","Tran",662,252463.10,4.93
"CUS9X4IBLLNPA7E","Mary","Strickland",766,159137.36,13.86
"CUSFAG2HBDLW7WE","David","Dillon",583,244105.10,12.11
"CUS2NKXME38ERZR","Anna","Bennett",311,110477.64,10.05
"CUSFH3XDVQ8PKD2","William","Guzman",586,4012.73,9.97
"CUSDCDV84QVIVBS","Kimberly","Howard",360,15359.52,10.85
"CUS8LWI8AW6UF7L","Matthew","Bernard",461,164209.26,13.64
"CUSPKGEBENO5N6G","Steven","Johnson",408,147221.74,14.02
"CUSN72BHON4WBAB","Chad","Velasquez",781,99909.88,7.45
"CUSO2I52I339EOM","Melissa","Zimmerman",361,37081.00,9.95
"CUS2WOU0JSMSAJV","Cassandra","Rogers",809,140138.81,11.80
"CUSGEMMU32UL3UB","Brandon","Arroyo",400,8872.15,6.79
"CUSR44ESH9BXLSO","Keith","Wilson",490,164746.54,7.57
"CUS0MUFVLTDHOSP","Brian","Barber",469,199634.24,8.65
"CUSWQMWSVC7I0PN","Diana","Vasquez",712,48615.12,8.51
"CUSVZR5OCX7ENTN","Gary","Henry",441,292681.87,5.01
"CUS5ETXKHIDFRD3","Jeanne","Liu",649,37602.92,9.61
"CUST1WQDLF7VVGK","Katherine","Collins",755,9334.59,12.55
"CUS1C17C34OEZ37","John","Lee",518,90940.68,9.53
"CUSA830BF9S2U8U","Alyssa","Lopez",844,228901.70,3.98
"CUSTU1V6TUOM4CZ","Mark","Gomez",511,11993.40,3.64
"CUSMBJQNP3I154E","John","Lowery",354,48570.21,7.82
"CUSSXTDHDX1BJT4","Ruben","Briggs",460,144810.07,8.01
"CUSVUQ419943UN6","Kevin","Young",711,227979.22,11.52
"CUSVGA5H2LYTGAD","Nathan","Wilson",419,13497.64,12.66
"CUS2EGS2QHQJT7D","Noah","Collins",649,172932.93,10.85
"CUS1XJOWGBK3KJO","Mark","Morris",785,151188.87,2.26
"CUSOBNWZOIWT34K","Marcia","Williams",835,98311.05,5.50
"CUSH75CA2YBFAWS","Travis","Carey",344,47813.35,2.13
"CUSVPC5BJ6SC3LF","Angie","Howard",779,120250.43,5.61
"CUSQHDX8V94IRM2","Ashley","Davis",565,12891.80,3.55
"CUSSQD4WKS965T0","Becky","Dixon",402,43511.60,10.25
"CUS42I6DRFRMQ8R","Gregory","Garner",561,288331.07,7.64
"CUSSL6QRG78I6PG","Cindy","Duffy",379,84146.37,14.87
"CUSUZ7NN09D2OHH","Brian","Stewart",809,13362.12,6.78
"CUSCL8CU93DKZJ3","Victoria","Jones",844,183842.68,7.08
"CUSL6314CQE4LOH","Alyssa","Anderson",514,135386.65,11.67
"CUSE1A7OKJD4HUQ","Shelley","Smith",684,185472.37,12.50
"CUSMS8SHRDJKV58","Candace","Christian",816,245307.20,4.63
"CUSOCKO7T0DTNTJ","Teresa","Kramer",719,115371.63,11.97
"CUS2ZB6PMPU76K2","Jill","Clark",469,133130.16,14.70
"CUSQWXSICKYVIV2","Samuel","Herrera",435,194167.60,3.47
"CUSKXCLUKZBMGFT","John","Heath",823,143359.79,13.13
"CUSM508I7HPZGSB","Rhonda","Benjamin",650,222576.37,4.49
"CUSU91JBXIDYY38","Vincent","Brennan",311,230133.87,7.86
"CUSYF9CUD281PZ2","Morgan","Nguyen",650,52846.98,3.17
"CUS7BHO2UZHBC1C","Christopher","Rodriguez",563,44025.92,12.37
"CUS6SQVIJ5C71S5","Misty","Gross",436,204936.24,2.25
"CUSYTUTXAMIQO0P","Ronald","Hale",694,296142.96,2.20
"CUS46W0978YFT5O","Jennifer","Perkins",482,80351.97,2.99
"CUSWDFDEH5SRT0Z","Jonathan","West",827,130303.54,2.51
"CUSGZKNJYDYQPFR","Michelle","Brown",338,127509.56,3.17
"CUS03AVKSFPEVLZ","Corey","Greer",669,234773.81,12.71
"CUS0LO1NI89YT6N","Megan","Walton",472,130347.35,12.32
"CUSTJ9XPF0A5ZDK","Brittany","Lopez",436,263224.76,12.49
"CUS88Y2S3V8803S","Dominique","Fisher",368,196894.83,4.17
"CUS8A1CC31UZZTL","Rebecca","Martin",424,270009.59,9.78
"CUS8Y7TN8SELPQI","Zachary","Miller",838,53988.74,5.62
"CUS1XW1HJMW5QB1","Jessica","Baker",586,119190.84,6.50
"CUSAWTIJ1VIEDDB","Timothy","Campbell",839,224493.79,9.34
"CUSCQE7DKS9IO8N","Mark","White",447,210999.85,4.16
"CUSJCJISCSBLNPI","Michael","Li",496,87899.77,14.94
"CUS5JC4RQGS4SNZ","James","Lee",665,224310.75,14.86
"CUSOS2CVLZBJU11","Elizabeth","Peterson",642,154400.08,12.05
"CUS4MDDZ6HKLBG4","Jasmine","Rich",804,125188.45,5.81
"CUS2K3RGNBDB7MZ","Marissa","Price",551,277608.77,14.12
"CUSP47W7TJ3EDGD","Robert","Kennedy",709,9501.99,13.19
"CUSOJ37K6YGY80G","Jon","Simpson",609,26800.37,10.16
"CUS917QHGVYOZ3B","Haley","Delacruz",689,250925.75,8.65
"CUSAG7TCBR0LQKV","Rhonda","Sanders",620,142784.98,3.11
"CUSG8ON3W9HX6I6","Michelle","Allen",790,208546.59,8.59
"CUS0NJ2U10LUG8R","Gary","Morrison",651,220763.52,3.62
"CUSP78OZVPRA8SQ","Kimberly","White",325,23465.80,6.97
"CUS91KXIL19HNV3","Daniel","Carr",744,128206.95,5.86
"CUS7AE9WHA79VA7","Leah","Rocha",789,23198.09,14.15
"CUSAW01CI0GE0H5","Elizabeth","Nichols",743,243207.33,5.50
"CUS24BR0VOQYKBS","Patricia","Chang",425,116241.26,11.36
"CUSQW8F2G3INFCM","Ralph","Hughes",435,159759.01,13.20
"CUSRM0QWDN8FLMS","Dustin","Mitchell",815,164314.78,5.65
"CUS7U71M6AREPRA","Jessica","Williams",667,189981.77,11.92
"CUSXX6QOITA0PMD","Todd","Evans",812,65741.00,10.80
"CUSBBK7W7KS9SD1","Scott","Watkins",537,270136.91,6.67
"CUS7UETCGLECNFF","Susan","Goodwin",330,222601.63,12.98
"CUSFO59HPXVBL4T","Steven","Young",323,120101.87,5.41
"CUS7DF1YWTWQ95Y","Veronica","Fry",665,273516.56,4.54
"CUSJBE4Z7L7V7M9","Heidi","Brown",467,291298.57,14.27
"CUSFBD1R5NTF5QS","Nicole","Cruz",738,98213.33,5.19
"CUS2JO99RUEUWGP","Jennifer","Freeman",476,288311.94,6.97
"CUSJ4QK0NI8IDFW","Christina","Orozco",715,194323.46,2.35
"CUS3T66P79LZV36","Bethany","Garrett",384,160802.58,13.12
"CUSLW2FRYFY9AFA","Kurt","Bell",479,175223.70,11.81
"CUS7ATC5B197U9H","Renee","Allison",724,183814.18,4.99
"CUSBYHABPMJB13Z","Jason","Potter",500,223046.45,10.29
"CUSTIBGY1DV3D87","Larry","Mullins",598,134968.89,10.67
"CUSNDLRWNP2A63I","Allison","Kemp",731,177974.15,6.51
"CUS82R0Z113GQW0","Brian","Robinson",640,239652.31,2.82
"CUS3DN6OXGMMLNY","Alexander","Torres",300,150084.83,9.86
"CUSEXDL5PON9UEI","Seth","Anthony",363,31685.80,9.26
"CUSRGYKOFITNEM8","Cory","Nelson",464,93869.18,4.18
"CUSE5A2JQ44PX9I","Cody","Alexander",393,60789.33,3.77
"CUS6265N2NP3ARG","Lindsey","Owen",684,274040.69,11.99
"CUSC5ET0SSY8DAO","Benjamin","Gonzales",487,134353.60,3.71
"CUS5P3C6DW0YFCM","Dylan","Lucas",656,172390.80,9.15
"CUSNX1AOASD4SW5","Matthew","Graham",691,114385.04,12.62
"CUSI65FWBHDPK8U","Gerald","Perez",458,154475.84,8.02
"CUSQCRS6JBVIMZ5","Brittany","Lucero",524,121244.17,2.90
"CUSOERSRIT3BTQ4","Donald","Maldonado",400,108009.75,12.20
"CUSWY1ZPL7PSYQ2","April","Moreno",790,32453.84,3.72
"CUS3OOIEXKE8I26","David","Baxter",710,103960.45,13.05
"CUSHUQ9HN397WSP","Alexis","Curry",521,126042.70,3.43
"CUSDCC4CMKCHUC4","Anna","Mcmillan",747,182307.75,2.58
"CUSKRIZWGBCI6E5","Melissa","Washington",775,62526.95,13.54
"CUS74099HAQ8GII","Curtis","Lewis",634,224960.14,13.06
"CUS514S62JOQHWZ","Nicholas","Sanchez",386,210141.08,8.20
"CUSGID251CY019Q","David","Harmon",624,47077.28,6.34
"CUSO75CHY2S2EY7","Douglas","Johnson",676,118929.99,13.31
"CUSZST2E5T4RB4H","Alexander","Chambers",447,149409.10,4.67
"CUSWOUYNWO466OS","Stacey","Harris",680,1511.11,6.88
"CUSWZRWUQ48O2C6","Greg","Marshall",771,255896.01,2.87
"CUS6V83AG7EHYMZ","Matthew","Price",681,237278.06,3.62
"CUSW0WM2HRFZIGX","Daniel","Randall",618,255652.95,13.39
"CUSTNNVGGIX07P8","James","Noble",634,195355.48,13.38
"CUSZUF88E6LUU4T","Pamela","Brown",312,285039.72,14.77
"CUSULIY8SXA08OM","Timothy","Robinson",455,52581.46,11.91
"CUSVU22WH9PXJYF","Rebecca","Moore",641,103760.77,3.91
"CUSTGVLOFBM4DX5","Charlene","Carlson",643,120951.24,12.69
"CUSD2R9LNR7CZAH","Glenn","Warner",452,26471.31,12.39
"CUS5MXR43G10JCE","Amanda","Gates",386,156701.01,6.92
"CUSEIXZBEC4QSG5","Patrick","Weber",774,142676.96,11.75
"CUSDJT3DM7UTNZP","Benjamin","Hicks",828,138814.55,11.41
"CUS0G40CGDX5TMW","Laura","Olson",391,289794.94,4.23
"CUSDBNO0OAZ0Q7Q","Tracey","Allen",597,78845.70,6.09
"CUSGBOD7DAAQHZB","Melissa","Graham",468,48454.51,10.15
"CUS4JZAEH6AMRNR","Edward","Payne",837,131389.36,10.45
"CUSRRRA73P5OKJA","Austin","Vaughn",581,123255.94,9.75
"CUSQIEKWZ63SVXK","Samuel","Johnson",640,43588.84,7.41
"CUSX23XXZDP1R48","Jacob","Anderson",395,166954.69,11.50
"CUSK7NC1ABYIF2Z","Zachary","Obrien",651,234594.23,13.50
"CUS4LEXE71V9WT6","Richard","Spencer",381,260758.33,10.85
"CUSB7H10IZWFCKZ","Ryan","Wong",584,62308.99,7.20
"CUSBY6RMH74A3C8","Elizabeth","Baker",377,257783.80,6.22
"CUSM9F4KP57GWOS","Nancy","Koch",717,227850.61,4.95
"CUSVQOJ30PJL5VR","Gloria","Patterson",375,191522.04,11.22
"CUS3EYSKU2JU1RT","Heidi","Phillips",726,235486.25,7.21
"CUS958P4928TWHW","Sarah","Smith",586,267529.70,8.77
"CUSW2C3F52KQFCB","Amy","Garcia",709,127487.76,14.63
"CUSP3F099KMA39I","Austin","Alexander",644,206240.61,10.42
"CUSFJQD9C7T71AC","Travis","Adams",659,146561.98,8.51
"CUSJGTWNA1IW3W6","Noah","Parker",316,110770.10,12.53
"CUS7JFGC2GOC5V6","Justin","Gordon",674,243635.70,14.93
"CUSYRWAOHVOWIRM","Jimmy","Scott",785,204093.53,10.35
"CUS4CRREMMNOJUQ","Bruce","Hoffman",663,149270.68,14.66
"CUS6Y853Z9LU9NC","Joseph","Jordan",386,202688.31,13.93
"CUSR3R3GKRNRUP2","Betty","Mathis",630,190922.11,5.17
"CUSNTE32ZPIRU9G","Ryan","Fernandez",622,211544.59,13.24
"CUS2DBZ5WB8H7CY","Dustin","Henderson",761,269627.14,8.35
"CUSKPBNHJ2M96TF","Joshua","Flowers",368,161623.94,6.31
"CUS62W5UAB60J5E","Teresa","Harmon",772,145434.11,11.07
"CUSTIBGY1DV3D87","Larry","Mullins",598,207783.53,7.76
"CUSNJERVI5QZW1E","Anita","Doyle",325,289501.10,5.68
"CUSVUXS9VJ3P25G","Kimberly","Hodge",312,226043.98,10.20
"CUSNT64EBQR1NM0","Cole","Elliott",675,275981.39,2.57
"CUSHR62WLYMCX7R","Audrey","Huynh",354,10785.65,8.94
"CUSJ0I6MQAMJTMD","Aaron","Jackson",775,270898.49,11.88
"CUSMVOP8VB7GB5K","Keith","Page",333,37882.63,12.72
"CUSONRJWB43V61S","Mark","Banks",346,68110.19,9.37
"CUSSIX4OKQALQLW","Brenda","Valencia",511,95804.12,3.38
"CUSA173BKGGBQIB","Daniel","Weber",807,54738.45,14.97
"CUS9E7XBXZ2KBFT","Angela","Cross",415,233426.94,7.67
"CUS4MDA54BPCAXT","Mark","Hayes",579,154095.36,2.65
"CUSH4SEUNKDHF7J","Corey","Cantu",635,125479.59,4.85
"CUSLHJSAIHHHFPF","Sharon","Wright",308,98214.22,11.07
"CUS9RZQKVMX43V7","David","Williams",459,37732.43,14.33
"CUSG7V2MUOU7MFY","Marcus","Wright",712,90438.42,2.32
"CUSPCJPUF7VXQOD","Alexander","Vance",348,177475.29,6.70
"CUSJ9G71MPGV5NE","Maria","Anderson",695,166472.97,6.84
"CUSTJA622DCFF3T","Anthony","Harrison",790,241979.53,8.39
"CUSR9XFPXVP1E31","Dylan","Ramirez",835,12060.90,10.59
"CUSF3E5FOMUJUQZ","Michael","Brooks",656,121616.60,13.62
"CUSALE0P383YS64","Sheila","Craig",828,29774.14,2.83
"CUSTIF5AKZ006AY","Sarah","Griffin",531,167916.65,13.88
"CUSIUGB1X70X54M","Deborah","Mcdonald",553,183215.84,4.94
"CUS111TYBI9EW6W","Beth","Rodriguez",697,133434.10,7.00
"CUS1B1VN8NQE5W1","Harold","Wu",534,77794.37,12.24
"CUSAQTS809XRXTD","Karen","Lang",552,171971.61,5.29
"CUS2KLOT81XQTPB","Wanda","Keith",524,267774.72,8.85
"CUS2E3LAUKEACN0","Dennis","Stafford",390,185959.29,4.35
"CUSG5VPFUH7ML9S","Raymond","Brown",800,24555.78,4.63
"CUSR28QYTDZXEAB","Jorge","Smith",388,282464.07,8.62
"CUSWGCXRXGT8D9E","Kathleen","Peters",547,85471.97,5.47
"CUSSC0SHJ817H8B","Jesse","Hahn",767,90720.00,9.84
"CUSQGU5IO8VE6UX","Frank","Greene",847,197339.52,3.40
"CUSIUH8VYOMTXNS","Stephanie","Taylor",783,7502.25,13.20
"CUS57YUNEY725XT","Amy","Bautista",514,12246.86,5.08
"CUSNV93JG8GN7GR","Trevor","Ochoa",311,292676.09,5.16
"CUS2EJ1F5A94S4H","Sue","Lindsey",597,176542.25,8.49
"CUSATSL1UWS5LN1","Warren","Keller",710,234680.54,10.28
"CUSACUUS1TJIRU9","Justin","Martin",741,117937.77,5.37
"CUSNG8COGMG2L8O","James","Lopez",361,182991.71,14.12
"CUS2EHPBNFSMENK","Arthur","Meyer",444,74302.26,11.06
"CUSDN7W6SAD3V9C","Julie","Matthews",401,46842.06,3.23
"CUS0WV7A6DOTRV1","Erika","Rodriguez",439,79046.20,13.30
"CUSMMXZNTLO61RJ","Anthony","Tucker",588,72304.77,4.84
"CUSZFHBA9AABKE8","Cynthia","Burns",383,106156.28,2.56
"CUSVI1BLN0ZH7TI","Elizabeth","Wright",831,16944.21,13.02
"CUSX39LZB7AWDGQ","Melanie","Murray",781,273064.99,8.40
"CUSIKVK8ACVX4VB","Bryan","Thomas",547,212591.32,9.13
"CUSW8ZX5ZB09T2B","Lisa","Hart",808,82897.56,3.62
"CUS0CQ10W69EAQJ","Justin","Gordon",429,105787.96,14.43
"CUS9FV7YG5E2P7H","Deborah","Rodriguez",640,85105.92,3.78
"CUS102HOYIGT16G","Mary","Turner",767,19835.80,7.81
"CUSD1D364EA2PCI","David","Miller",418,93546.85,4.48
"CUS8U587TE583VV","Danielle","Turner",571,282253.18,5.34
"CUSGI6HBFVTV3GT","Krystal","Burch",543,127588.19,5.85
"CUSGVG3033A3KX0","Mark","Kaufman",657,228454.23,2.38
"CUSNKCOCZJHS8V2","Rachel","Crawford",378,175495.62,4.65
"CUS26ER86121GZI","Shannon","Russell",406,280136.76,2.91
"CUS0TJAU90FX86K","Evan","Mcintyre",473,53632.47,5.30
"CUSE2QSWQLY5W6U","Anthony","Jefferson",444,138631.90,3.80
"CUS6X502C0STUO9","Michael","Morrison",434,283161.58,10.95
"CUS84VXIC5JXJ9W","Ricky","Davis",732,297074.50,12.40
"CUSLOB2ZGPKVIJD","David","Porter",794,38507.99,12.98
"CUSFEOEKQ72R2W4","Jessica","Mccarty",599,125841.64,14.44
"CUSXIPC5TRLY01L","Linda","Franco",736,195487.96,11.22
"CUSJZMRHP5NXZG8","Joseph","Smith",347,4264.48,2.36
"CUSNUANE1Y7ZHDO","Scott","Francis",699,67956.20,9.69
"CUSX5L5TW91UHO0","Jason","Evans",745,291518.67,10.91
"CUS8NXW97JOFIUR","Angela","Goodwin",773,80979.07,9.58
"CUS2OMOJPGS1HID","Patricia","Henderson",308,204698.65,3.68
"CUSZ79GKB6R576E","Anthony","Tate",581,114923.81,11.04
"CUSVWFKZFJJ719Y","Anna","Sherman",816,85197.48,11.90
"CUSH80R4OTPCF5P","Cheryl","Church",581,211441.08,2.31
"CUSYCUWNDVEFF0Q","Samantha","Vang",653,184606.25,4.10
"CUSN7Q6DE7UAXIR","Bryan","Smith",328,124801.82,12.60
"CUSHBWGNBQR715B","Katie","Lee",548,97850.76,2.54
"CUSIRAC9FBX09XP","Melvin","Baker",448,121503.49,8.84
"CUS4B4GKORI9FUA","Adam","Sanders",561,146233.94,14.55
"CUSXU1SRDV1L303","Ryan","Chase",541,34705.98,10.57
"CUSG36NX1B0WBF0","Austin","Baker",734,21924.96,5.23
"CUS5FKCXNEJL2N5","Brittany","Duncan",558,23850.75,10.45
"CUSYDRUP3CQGS66","Alicia","Caldwell",763,204501.23,7.46
"CUS0LMCAKHDEN2E","Christopher","Barnett",815,60082.59,10.09
"CUSO0NX8NPL40L2","Lance","Castillo",351,217871.85,14.54
"CUSP1GC3LHOG1LR","Anthony","Lang",402,89235.27,7.58
"CUSCHITPF28IKAB","Barbara","Powell",328,272462.49,3.08
"CUSWNMUJ9QHDOBG","David","Watkins",450,40170.13,8.49
"CUSZY74BPXA8KTF","Austin","Garza",616,139406.92,9.64
"CUSNBH9QLHDQD0K","Timothy","Simpson",542,133054.79,14.82
"CUSIE7KTXGCTFYY","Vicki","Banks",417,30924.40,9.83
"CUSKK71PT3APQNR","Colleen","Rasmussen",427,74752.31,6.94
"CUSC3GY45SHZ529","Brian","Bryant",357,92089.18,9.07
"CUS64EEZWSCR0BG","Kathy","Mcdonald",754,81885.30,3.99
"CUS52XRERPF97TD","Jonathan","Thomas",844,237369.74,8.39
"CUSK26KPZA2QCX6","John","Baker",817,144939.25,7.21
"CUSTKQOK8YBF6BL","Nancy","Bartlett",550,78928.58,12.97
"CUSLS8SOTTO6YHG","Jennifer","Robbins",766,43326.04,2.73
"CUSYYK6OM70WJ2N","Roger","Stark",746,257344.70,10.99
"CUSAS0O5DGRX0B3","William","Woodard",359,84432.09,5.07
"CUSX24L3NV7IY0K","Andrea","Fisher",314,44852.65,2.27
"CUSUFHW8WLVA02D","Katrina","Miller",641,115538.22,11.79
"CUSW150SHN3XHFH","Melissa","Jenkins",841,136607.49,11.25
"CUS6A6NJHEEK2VK","Melinda","Rodriguez",752,216221.08,4.22
"CUSV3K89ZNNEWB0","Stephen","Bernard",330,30724.74,14.78
"CUSDRW4BKMIHRFT","Joyce","Wagner",526,265442.75,8.76
"CUS57AUKHQNZJNN","Adrian","Houston",824,293719.04,14.81
"CUSF6HIWZ9AYX2U","Pamela","Hodges",845,203042.30,5.48
"CUS2JCKRGNISSM3","Donna","Jarvis",506,28903.16,5.38
"CUS9OZ7G108KIHK","Diana","Johnson",806,51828.83,10.05
"CUSBQQ6YM1YB7ML","Adam","Mclaughlin",806,5884.70,12.74
"CUSOIOO54PFYFSL","Tanner","Ramos",826,261714.23,7.24
"CUSGB9LPR1QUW10","Lori","Smith",529,168044.85,7.34
"CUSMYYZCEACU0ON","Courtney","Jones",554,17906.91,14.39
"CUSGRPPV5K0GDIC","Dustin","Taylor",346,197588.50,12.76
"CUSIW3Y8Y920KYC","Amy","Thompson",844,9862.30,7.40
"CUSB9YV26GEB5XF","Kendra","Allen",640,54928.95,2.38
"CUS2QW7M4V5DE3B","Kimberly","Mason",396,169168.44,5.51
"CUS66ACGW3EY8XU","Adam","Johnson",678,225276.97,7.14
"CUSD9TBVGMVOA43","Samuel","Smith",768,149471.25,6.10
"CUS0R4PDDSZSKDY","Bruce","Wright",554,128623.33,11.45
